"INSTNM","CITY","state","degree_offered","CONTROL","region","ADM_RATE","SATVRMID","SATMTMID","num_undergrad","prop_arts_human","prop_business","prop_health_med","prop_interdiscip","prop_public_svce","prop_sci_math_tech","prop_social_sci","prop_trades_personal_svce"
"Charles and Sues School of Hair Design","Bryan","TX","1","2","6",NA,NA,NA,19,0,0,0,0,0,0,0,1
"Cisco College","Cisco","TX","1","1","6",NA,NA,NA,3496,0,0.0777,0.2073,0.4733,0.0449,0.0138,0,0.1831
"Clarendon College","Clarendon","TX","1","1","6",NA,NA,NA,1214,0,0.0677,0.276,0.2083,0.0156,0.3125,0.0365,0.0833
"Concordia University-Texas","Austin","TX","3","2","6",0.4685,500,525,1493,0.0256,0.3109,0.2436,0.1218,0.0353,0.0577,0.2051,0
"Conlee's College of Cosmetology","Kerrville","TX","1","2","6",NA,NA,NA,51,0,0,0,0,0,0,0,1
"North Central Texas College","Gainesville","TX","2","1","6",NA,NA,NA,10141,0,0.0181,0.2588,0.5412,0.0163,0.1059,0.0326,0.0271
"Texas A & M University-Corpus Christi","Corpus Christi","TX","3","1","6",0.9258,470,495,9137,0.0854,0.1673,0.1714,0.1851,0.0581,0.1625,0.1701,0
"Cosmetology Career Center LLC","Carrollton","TX","1","2","6",NA,NA,NA,215,0,0,0,0,0,0,0,1
"Court Reporting Institute of Dallas","Dallas","TX","2","2","6",NA,NA,NA,183,0,0,0,0,1,0,0,0
"Dallas Baptist University","Dallas","TX","3","2","6",0.423,564,562,3375,0.0835,0.2676,0.0313,0.1893,0.1383,0.0456,0.2441,0
"Dallas Christian College","Dallas","TX","3","2","6",0.5516,460,449,316,0,0.0952,0,0.1905,0.5238,0,0.1904,0
"Dallas Institute of Funeral Service","Dallas","TX","2","2","6",NA,NA,NA,114,0,0,0,0,0,0,0,1
"University of Dallas","Irving","TX","3","2","6",0.9011,615,595,1374,0.2733,0.0692,0,0,0.1246,0.1869,0.346,0
"Del Mar College","Corpus Christi","TX","2","1","6",NA,NA,NA,10502,0.0451,0.0967,0.2291,0.1569,0.0781,0.0927,0.0411,0.2603
"Career Point College","San Antonio","TX","1","2","6",NA,NA,NA,529,0,0.153,0.7674,0,0.0321,0.0398,0.0077,0
"East Texas Baptist University","Marshall","TX","3","2","6",0.7362,475,490,1132,0.0842,0.1421,0.1105,0.1842,0.0842,0.1053,0.2894,0
"Texas A & M University-Texarkana","Texarkana","TX","3","1","6",0.3723,485,510,1391,0.0257,0.18,0.06,0.4514,0.0514,0.0714,0.16,0
"Texas A & M University-Commerce","Commerce","TX","3","1","6",0.6818,485,500,6951,0.0602,0.1453,0.0052,0.4791,0.0791,0.1237,0.1074,0
"Eastfield College","Mesquite","TX","2","1","6",NA,NA,NA,12113,0,0.0986,0.0503,0.4289,0.0897,0.0897,0.0099,0.2328
"El Centro College","Dallas","TX","2","1","6",NA,NA,NA,8854,0.0208,0.0972,0.4643,0.1719,0.0515,0.1071,0.01,0.0772
"El Paso Community College","El Paso","TX","2","1","6",NA,NA,NA,29390,0.0234,0.0751,0.1335,0.4485,0.0735,0.0817,0.0847,0.0796
"Western Technical College","El Paso","TX","1","2","6",NA,NA,NA,651,0,0,0.6897,0,0,0.1648,0,0.1456
"Western Technical College","El Paso","TX","1","2","6",NA,NA,NA,815,0,0,0.2588,0,0,0.1583,0,0.5829
"Exposito School of Hair Design","Amarillo","TX","1","2","6",NA,NA,NA,58,0,0,0,0,0,0,0.0222,0.9778
"South University-The Art Institute of Dallas","Dallas","TX","3","2","6",NA,NA,NA,1408,0.5178,0.074,0,0,0,0.0917,0.0444,0.2722
"Fort Worth Beauty School","Fort Worth","TX","1","2","6",NA,NA,NA,60,0,0,0,0,0,0,0,1
"Frank Phillips College","Borger","TX","1","1","6",NA,NA,NA,567,0,0.0355,0.2128,0.2482,0,0.1844,0.0567,0.2624
"Galveston College","Galveston","TX","2","1","6",NA,NA,NA,1858,0.0021,0.0449,0.3568,0.2564,0.0705,0.0363,0.0064,0.2264
"Grayson College","Denison","TX","2","1","6",NA,NA,NA,3967,0.0188,0.0775,0.3068,0.1539,0.0503,0.1414,0.0869,0.1643
"Hallmark College","San Antonio","TX","2","2","6",NA,NA,NA,713,0,0.1,0.2968,0,0,0.1806,0,0.4226
"Hardin-Simmons University","Abilene","TX","3","2","6",0.3759,500,520,1690,0.0806,0.1164,0.1224,0.1373,0.1134,0.1164,0.3133,0
"Trinity Valley Community College","Athens","TX","2","1","6",NA,NA,NA,4958,0.0036,0.0246,0.1816,0.3734,0.0275,0.1678,0,0.2214
"Hill College","Hillsboro","TX","1","1","6",NA,NA,NA,3580,0.0014,0.0893,0.219,0.3257,0.0749,0.0187,0.0101,0.2608
"Houston Baptist University","Houston","TX","3","2","6",0.7318,525,540,2165,0.1541,0.1595,0.1595,0.0567,0.0054,0.1838,0.2811,0
"University of Houston-Clear Lake","Houston","TX","3","1","6",NA,NA,NA,4691,0.0491,0.2494,0.0283,0.3292,0.0266,0.1163,0.2012,0
"Houston Community College","Houston","TX","2","1","6",NA,NA,NA,57742,0.0138,0.1217,0.1484,0.5339,0.0428,0.0764,0.0012,0.0619
"University of Houston-Downtown","Houston","TX","3","1","6",0.9509,430,465,13297,0.0323,0.3635,0,0.2604,0.1051,0.0658,0.1729,0
"University of Houston-Victoria","Victoria","TX","3","1","6",0.5102,440,469,2879,0.0102,0.312,0.1516,0.258,0.035,0.0962,0.1371,0
"University of Houston","Houston","TX","3","1","6",0.5841,550,590,30357,0.0813,0.2857,0.0332,0.1366,0,0.2397,0.2233,0
"Howard College","Big Spring","TX","1","1","6",NA,NA,NA,4044,0.0013,0.0692,0.1718,0.5141,0.0487,0.1065,0.0051,0.0833
"Howard Payne University","Brownwood","TX","3","2","6",0.5382,470,485,1059,0.0922,0.1408,0.0049,0.1845,0.1845,0.0874,0.3059,0
"Huston-Tillotson University","Austin","TX","3","2","6",0.4589,400,400,924,0.0909,0.2314,0,0.1901,0.0909,0.1489,0.248,0
"University of the Incarnate Word","San Antonio","TX","3","2","6",0.9307,475,490,6346,0.1033,0.3702,0.0909,0.0752,0.0264,0.1298,0.2041,0
"International Business College-El Paso","El Paso","TX","1","2","6",NA,NA,NA,196,0,0.1034,0.5632,0,0.0115,0,0,0.3218
"ITT Technical Institute-Arlington","Arlington","TX","2","2","6",0.9121,NA,NA,612,0,0.1057,0,0,0.0837,0.8106,0,0
"ITT Technical Institute-Houston West","Houston","TX","2","2","6",0.9368,NA,NA,609,0,0.0767,0,0,0.0418,0.8815,0,0
"Jacksonville College-Main Campus","Jacksonville","TX","2","2","6",NA,NA,NA,296,0,0,0,1,0,0,0,0
"Jarvis Christian College","Hawkins","TX","3","2","6",NA,NA,NA,578,0.0238,0.1429,0,0.0238,0.3809,0.1905,0.2381,0
"KD College Conservatory of Film and Dramatic Arts","Dallas","TX","2","2","6",0.6806,NA,NA,153,1,0,0,0,0,0,0,0
"Kilgore College","Kilgore","TX","2","1","6",NA,NA,NA,5764,0.0334,0.09,0.2243,0.0872,0.2311,0.135,0.0615,0.1377
"Lamar University","Beaumont","TX","3","1","6",0.7682,480,495,9175,0.0782,0.1381,0.1315,0.3264,0.0577,0.1644,0.1037,0
"Lamar State College-Orange","Orange","TX","1","1","6",NA,NA,NA,1938,0.0115,0.0827,0.5731,0.0846,0.0481,0.15,0.05,0
"Lamar State College-Port Arthur","Port Arthur","TX","2","1","6",NA,NA,NA,1811,0.0414,0.0671,0.3787,0.1262,0.0434,0.1045,0.0178,0.2209
"Laredo Beauty College Inc","Laredo","TX","1","2","6",NA,NA,NA,283,0,0,0,0,0,0,0,1
"Laredo Community College","Laredo","TX","1","1","6",NA,NA,NA,8048,0,0.0718,0.181,0.3736,0.0534,0.0951,0,0.2252
"Texas A & M International University","Laredo","TX","3","1","6",0.4785,441,465,6560,0.0817,0.2095,0.1865,0.0638,0.1303,0.0933,0.235,0
"Lee College","Baytown","TX","1","1","6",NA,NA,NA,5775,0.0048,0.1053,0.0833,0.0637,0.025,0.4558,0.0309,0.2315
"LeTourneau University","Longview","TX","3","2","6",0.4066,570,595,2173,0.005,0.3394,0.0133,0.0416,0.0499,0.1947,0.273,0.0832
"Lincoln College of Technology-Grand Prairie","Grand Prairie","TX","1","2","6",NA,NA,NA,867,0,0,0,0,0,0.0923,0,0.9077
"Lubbock Hair Academy","Lubbock","TX","1","2","6",NA,NA,NA,49,0,0,0,0,0,0,0,1
"Lubbock Christian University","Lubbock","TX","3","2","6",0.9489,500,510,1466,0.0515,0.1789,0.2493,0.1057,0.1219,0.0759,0.2168,0
"College of the Mainland","Texas City","TX","2","1","6",NA,NA,NA,4188,0.0104,0.0491,0.2455,0.2931,0.1205,0.1875,0.0223,0.0715
"University of Mary Hardin-Baylor","Belton","TX","3","2","6",0.8468,510,530,3006,0.0561,0.0902,0.2886,0.0781,0.0561,0.1082,0.3226,0
"McLennan Community College","Waco","TX","2","1","6",NA,NA,NA,7302,0.0168,0.0835,0.3165,0.3831,0.0744,0.0737,0.0126,0.0393
"McMurry University","Abilene","TX","3","2","6",0.5924,480,495,1157,0.1441,0.1852,0.0617,0.0988,0,0.1028,0.4074,0
"Covenant School of Nursing and Allied Health","Lubbock","TX","1","2","6",NA,NA,NA,310,0,0,1,0,0,0,0,0
"Metroplex Beauty School","Mesquite","TX","1","2","6",NA,NA,NA,58,0,0,0,0,0,0,0,1
"Midland College","Midland","TX","2","1","6",NA,NA,NA,3406,0.0085,0.0963,0.2847,0.2889,0.0751,0.1232,0.0353,0.0878
"Midwestern State University","Wichita Falls","TX","3","1","6",0.7178,490,505,5192,0.0476,0.1618,0.3512,0.1773,0.0467,0.0829,0.1323,0
"Mims Classic Beauty College","San Antonio","TX","1","2","6",NA,NA,NA,53,0,0,0,0,0,0,0,1
"Wade College","Dallas","TX","2","2","6",NA,NA,NA,201,0,1,0,0,0,0,0,0
"Southern Careers Institute-Austin","Austin","TX","1","2","6",NA,NA,NA,316,0,0.1099,0.8901,0,0,0,0,0
"Mountain View College","Dallas","TX","2","1","6",NA,NA,NA,7419,0.0073,0.1725,0.0267,0.5443,0.0778,0.0705,0.0437,0.0571
"Everest Institute-San Antonio","San Antonio","TX","1","2","6",NA,NA,NA,493,0,0,0.5885,0,0,0.4115,0,0
"Tint School of Makeup and Cosmetology-Irving","Irving","TX","1","2","6",NA,NA,NA,108,0,0,0,0,0,0,0,1
"Navarro College","Corsicana","TX","2","1","6",NA,NA,NA,10256,0.0156,0.0948,0.2477,0.2882,0.1229,0.1091,0.0543,0.0674
"Neilson Beauty College","Dallas","TX","1","2","6",NA,NA,NA,51,0,0,0,0,0,0,0,1
"Lone Star College System","The Woodlands","TX","2","1","6",NA,NA,NA,56288,0.012,0.078,0.2272,0.4515,0.0386,0.0663,0.057,0.0695
"North Lake College","Irving","TX","2","1","6",NA,NA,NA,9319,0.0208,0.1213,0,0.7336,0,0.0841,0.0141,0.026
"University of North Texas","Denton","TX","3","1","6",0.5969,545,560,31243,0.1513,0.1896,0.0251,0.2354,0.0647,0.097,0.234,0.0028
"Northeast Texas Community College","Mount Pleasant","TX","2","1","6",NA,NA,NA,3020,0,0.1028,0.1907,0.3698,0.0547,0.0564,0.0083,0.2173
"Northwood University-Texas","Cedar Hill","TX","3","2","6",0.2578,445,475,645,0,0.9808,0,0.0192,0,0,0,0
"Ocean Corporation","Houston","TX","1","2","6",NA,NA,NA,360,0,0,0,0,0,0.5794,0,0.4206
"Odessa College","Odessa","TX","2","1","6",NA,NA,NA,3781,0.0408,0.0817,0.2042,0.1543,0.0953,0.1376,0.0908,0.1951
"Ogle School Hair Skin Nails-Arlington","Arlington","TX","1","2","6",NA,NA,NA,212,0,0,0,0,0,0,0,1
"Ogle School Hair Skin Nails-Ft Worth","Fort Worth","TX","1","2","6",NA,NA,NA,223,0,0,0,0,0,0,0,1
"Our Lady of the Lake University","San Antonio","TX","3","2","6",0.6561,445,460,1509,0.0779,0.1721,0.0357,0.1136,0.1364,0.1622,0.3019,0
"The University of Texas-Pan American","Edinburg","TX","3","1","6",0.6217,460,490,17200,0.1211,0.1346,0.1569,0.1298,0.1134,0.1704,0.1739,0
"The University of Texas at Brownsville","Brownsville","TX","3","1","6",NA,NA,NA,10379,0.0618,0.1125,0.1675,0.2614,0.1106,0.1232,0.1207,0.0423
"Panola College","Carthage","TX","1","1","6",NA,NA,NA,2699,0.0058,0.0579,0.2243,0.343,0,0.233,0.0246,0.1114
"Paris Junior College","Paris","TX","2","1","6",NA,NA,NA,3964,0.038,0.0825,0.2421,0.177,0.0315,0.1215,0.0663,0.2411
"Paul Quinn College","Dallas","TX","3","2","6",0.9858,400,405,243,0,0.5,0,0.0625,0.25,0.0625,0.125,0
"Prairie View A & M University","Prairie View","TX","3","1","6",0.4232,415,430,6731,0.0198,0.1064,0.2227,0.1083,0.1063,0.2882,0.1481,0
"Ranger College","Ranger","TX","1","1","6",NA,NA,NA,1738,0,0.0088,0.3991,0.3465,0,0.0088,0,0.2369
"Aviation Institute of Maintenance-Houston","Houston","TX","1","2","6",NA,NA,NA,251,0,0,0,0,0,0,0,1
"Rice University","Houston","TX","3","2","6",0.1674,715,745,3920,0.1233,0,0,0.0902,0.0031,0.5435,0.2397,0
"Richland College","Dallas","TX","2","1","6",NA,NA,NA,15979,0.0067,0.1507,0,0.7638,0,0.0674,0.0112,0
"Kaplan College-McAllen","McAllen","TX","1","2","6",NA,NA,NA,538,0,0,0.8552,0,0.0707,0.0069,0,0.0672
"Saint Edward's University","Austin","TX","3","2","6",0.7853,560,560,4077,0.1568,0.2285,0,0.083,0.0696,0.0894,0.3728,0
"St Philip's College","San Antonio","TX","2","1","6",NA,NA,NA,7898,0.0077,0.0606,0.3143,0.115,0.0105,0.145,0.0299,0.317
"University of St Thomas","Houston","TX","3","2","6",0.7724,540,565,1529,0.1152,0.2051,0,0.0983,0.0871,0.1742,0.3202,0
"Sam Houston State University","Huntsville","TX","3","1","6",0.6499,495,510,16255,0.082,0.2052,0.0255,0.2015,0.1791,0.1424,0.1643,0
"San Antonio College","San Antonio","TX","2","1","6",NA,NA,NA,19524,0.0667,0.1175,0.181,0.2559,0.1316,0.1049,0.1187,0.0237
"San Jacinto Community College","Pasadena","TX","2","1","6",NA,NA,NA,24775,0.0332,0.132,0.1832,0.1603,0.0341,0.2192,0.0337,0.2043
"Schreiner University","Kerrville","TX","3","2","6",0.9262,485,500,1051,0.1076,0.1345,0.2466,0.166,0,0.1076,0.2376,0
"Seguin Beauty School-Seguin","Seguin","TX","1","2","6",NA,NA,NA,48,0,0,0,0,0,0,0,1
"St Mary's University","San Antonio","TX","3","2","6",0.5823,520,530,2390,0.0759,0.2105,0,0.0584,0.0897,0.228,0.3371,0
"South Plains College","Levelland","TX","2","1","6",NA,NA,NA,7765,0.0836,0.0973,0.1282,0.2579,0.0763,0.0836,0.0468,0.2262
"South Texas Barber College Inc","Corpus Christi","TX","1","2","6",NA,NA,NA,42,0,0,0,0,0,0,0,1
"South Texas Vo-Tech Institute","Weslaco","TX","1","2","6",NA,NA,NA,316,0,0.0183,0.7546,0,0,0,0,0.2271
"Southern Methodist University","Dallas","TX","3","2","6",0.507,645,660,6295,0.1454,0.2263,6e-04,0.0761,0.0099,0.206,0.3358,0
"Southwest School of Business and Technical Careers-San Antonio","San Antonio","TX","1","2","6",NA,NA,NA,230,0,0.1264,0.8736,0,0,0,0,0
"Southwest Texas Junior College","Uvalde","TX","2","1","6",NA,NA,NA,3872,0,0.0579,0.1169,0.5396,0.0319,0.0602,0.0047,0.1889
"Southwestern Assemblies of God University","Waxahachie","TX","3","2","6",0.3486,NA,NA,1669,0.0571,0.0819,0,0.0914,0.5619,0,0.2076,0
"Southwestern University","Georgetown","TX","3","2","6",0.5217,580,590,1528,0.2102,0.1095,0,0.0503,0,0.216,0.4143,0
"Stephen F Austin State University","Nacogdoches","TX","3","1","6",0.5687,485,505,10715,0.1179,0.1902,0.1175,0.2972,0.0567,0.1108,0.1098,0
"Texas State University","San Marcos","TX","3","1","6",0.7508,510,525,31005,0.1466,0.1813,0.0579,0.2166,0.0698,0.118,0.2095,0
"Southwestern Adventist University","Keene","TX","3","2","6",0.5392,485,475,715,0.0507,0.1304,0.413,0.1015,0,0.0435,0.2608,0
"Southwestern Christian College","Terrell","TX","2","2","6",NA,NA,NA,169,0,0,0,0.9091,0.0909,0,0,0
"Sul Ross State University","Alpine","TX","3","1","6",0.522,425,440,2000,0.0823,0.0907,0.0247,0.3022,0.1346,0.2199,0.1456,0
"Tarleton State University","Stephenville","TX","3","1","6",0.5682,480,500,11328,0.0358,0.1686,0.0717,0.2881,0.0701,0.2389,0.1268,0
"Tarrant County College District","Fort Worth","TX","2","1","6",NA,NA,NA,43464,0.0164,0.129,0.1258,0.5107,0.0555,0.0863,0.0192,0.0572
"Temple College","Temple","TX","2","1","6",NA,NA,NA,5292,0.0055,0.1159,0.3228,0.3269,0.098,0.1008,0.0304,0
"University of Texas Southwestern Medical Center","Dallas","TX","3","1","6",NA,NA,NA,10,0,0,1,0,0,0,0,0
"The University of Texas Health Science Center at San Antonio","San Antonio","TX","3","1","6",NA,NA,NA,793,0,0,1,0,0,0,0,0
"The University of Texas Medical Branch","Galveston","TX","3","1","6",NA,NA,NA,725,0,0,1,0,0,0,0,0
"Texas State Technical College-Waco","Waco","TX","2","1","6",NA,NA,NA,3699,0.0171,0,0.0578,0,0,0.5241,0.0212,0.38
"Texarkana College","Texarkana","TX","1","1","6",NA,NA,NA,2884,0.0141,0.0898,0.2289,0.1743,0.0246,0.1654,0.0194,0.2835
"Texas A & M University-Kingsville","Kingsville","TX","3","1","6",0.881,435,465,9400,0.0515,0.1289,0.0855,0.3306,0.0075,0.226,0.1699,0
"Texas A & M University-College Station","College Station","TX","3","1","6",0.6947,575,605,43931,0.0352,0.1667,0.025,0.1499,0.002,0.4519,0.1648,0.0043
"The University of Texas at Arlington","Arlington","TX","3","1","6",0.5998,520,560,25415,0.0752,0.1324,0.3306,0.1523,0.0474,0.1506,0.1114,0
"The University of Texas at Austin","Austin","TX","3","1","6",0.4019,610,650,39323,0.0923,0.1779,0.0394,0.1263,0.0091,0.2709,0.284,0
"The University of Texas at Dallas","Richardson","TX","3","1","6",0.5857,610,650,13042,0.0829,0.3245,0.0322,0.0649,0.0206,0.2912,0.1836,0
"The University of Texas at El Paso","El Paso","TX","3","1","6",0.9981,445,475,19527,0.0761,0.1544,0.1111,0.1243,0.0698,0.2054,0.2589,0
"The University of Texas at Tyler","Tyler","TX","3","1","6",0.8203,515,544,5338,0.0546,0.1974,0.2512,0.1884,0.0334,0.137,0.1379,0
"Texas Christian University","Fort Worth","TX","3","2","6",0.4739,580,600,8597,0.1005,0.2089,0.1439,0.043,0.0279,0.1117,0.364,0
"Texas College","Tyler","TX","3","2","6",NA,NA,NA,945,0.0571,0.1786,0,0.35,0.2,0.0571,0.1571,0
"Texas Lutheran University","Seguin","TX","3","2","6",0.5087,505,530,1295,0.0979,0.217,0.0085,0.1617,0.0128,0.1958,0.3065,0
"The University of Texas of the Permian Basin","Odessa","TX","3","1","6",0.8401,500,523,2947,0.0802,0.2555,0.0036,0.2281,0.0291,0.197,0.2062,0
"The University of Texas at San Antonio","San Antonio","TX","3","1","6",0.7327,510,540,23840,0.0814,0.2411,0.0196,0.1544,0.0609,0.2145,0.2165,0.0116
"Texas School of Business-North Campus","Houston","TX","1","2","6",NA,NA,NA,418,0,0,0.9376,0,0.0624,0,0,0
"Texas Southern University","Houston","TX","3","1","6",0.4503,410,425,6288,0.0555,0.2377,0.1176,0.1989,0.0982,0.1718,0.1098,0.0103
"Texas Tech University","Lubbock","TX","3","1","6",0.663,540,570,26809,0.0787,0.1915,0.0073,0.2482,0.005,0.2883,0.1811,0
"Texas Vocational Schools Inc","Victoria","TX","1","2","6",NA,NA,NA,55,0,0.1231,0.1692,0,0,0,0,0.7077
"Texas Wesleyan University","Fort Worth","TX","3","2","6",0.2992,505,510,1719,0.0742,0.1385,0,0.1588,0.1487,0.054,0.4257,0
"Texas Woman's University","Denton","TX","3","1","6",0.8603,470,485,9220,0.0579,0.0677,0.2828,0.3795,0.0667,0.0646,0.0781,0.0026
"Trinity University","San Antonio","TX","3","2","6",0.6393,625,635,2127,0.1538,0.2378,0,0.0192,0,0.2413,0.3479,0
"The University of Texas Health Science Center at Houston","Houston","TX","3","1","6",NA,NA,NA,701,0,0,1,0,0,0,0,0
"Texas State Technical College-Harlingen","Harlingen","TX","2","1","6",NA,NA,NA,3241,0.0299,0.0284,0.3418,0,0,0.2791,0.0851,0.2358
"Texas State Technical College-West Texas","Sweetwater","TX","2","1","6",NA,NA,NA,930,0.0629,0.1069,0.3145,0,0,0.261,0,0.2547
"Texas Tech University Health Sciences Center","Lubbock","TX","3","1","6",NA,NA,NA,1346,0,0,1,0,0,0,0,0
"Tyler Junior College","Tyler","TX","2","1","6",NA,NA,NA,11308,0.0707,0.0541,0.379,0.1878,0.0614,0.1088,0.0704,0.0678
"Universal Technical Institute of Texas Inc.","Houston","TX","1","2","6",NA,NA,NA,2097,0,0,0,0,0,0,0,1
"University of Cosmetology Arts & Sciences-McAllen","McAllen","TX","1","2","6",NA,NA,NA,173,0,0,0,0,0,0,0,1
"Vernon College","Vernon","TX","1","1","6",NA,NA,NA,2586,0,0.0144,0.3602,0.4049,0.0418,0.0604,0.0072,0.1109
"Victoria Beauty College Inc","Victoria","TX","1","2","6",NA,NA,NA,26,0,0,0,0,0,0,0,1
"Victoria College","Victoria","TX","2","1","6",NA,NA,NA,4176,0,0.1071,0.4428,0.1869,0.0563,0.1906,0,0.0163
"Vogue College of Cosmetology-McAllen","McAllen","TX","1","2","6",NA,NA,NA,232,0,0,0,0,0,0,0,1
"Wayland Baptist University","Plainview","TX","3","2","6",0.9862,455,470,4246,0.0308,0.3293,0.0508,0.3746,0.1414,0.009,0.064,0
"Weatherford College","Weatherford","TX","2","1","6",NA,NA,NA,5549,0,0.0228,0.2023,0.6629,0.0657,0.0289,0.0105,0.007
"West Texas A & M University","Canyon","TX","3","1","6",0.7403,480,490,6890,0.0694,0.1425,0.1037,0.3301,0.0655,0.1821,0.1067,0
"Western Texas College","Snyder","TX","1","1","6",NA,NA,NA,675,0.0242,0.0291,0.0944,0.2058,0.0073,0.397,0.1017,0.1404
"Wharton County Junior College","Wharton","TX","2","1","6",NA,NA,NA,6164,0.0034,0.0552,0.1971,0.3232,0.0979,0.1464,0.027,0.1497
"Wiley College","Marshall","TX","3","2","6",NA,NA,NA,1388,0.0208,0.3889,0,0,0.25,0.0694,0.2709,0
"AmeriTech College-Provo","Provo","UT","1","2","7",NA,NA,NA,156,0,0,0.9859,0.0141,0,0,0,0
"Bridgerland Applied Technology College","Logan","UT","1","1","7",NA,NA,NA,593,0.0044,0.0548,0.5033,0,0.0735,0.0438,0,0.3201
"Brigham Young University-Provo","Provo","UT","3","2","7",0.4942,625,630,27765,0.1502,0.1234,0.0802,0.1191,0,0.255,0.2719,0
"Brigham Young University-Hawaii","Laie","HI","3","2","8",0.3604,530,530,2664,0.0452,0.2436,0,0.3931,0.0515,0.0709,0.1959,0
"Broadview University-West Jordan","West Jordan","UT","2","2","7",NA,NA,NA,221,0,0.1068,0.6311,0.0291,0.1844,0.0485,0,0
"Cameo College of Essential Beauty","Murray","UT","1","2","7",NA,NA,NA,228,0,0,0,0,0,0,0,1
"Sherman Kendall Academy-Salt Lake City","Salt Lake City","UT","1","2","7",NA,NA,NA,79,0,0,0,0,0,0,0,1
"Sherman Kendall Academy-Midvale","Midvale","UT","1","2","7",NA,NA,NA,56,0,0,0,0,0,0,0,1
"Davis Applied Technology College","Kaysville","UT","1","1","7",NA,NA,NA,1557,0.0029,0.0175,0.6486,0,0.03,0.0935,0,0.2075
"Dixie State University","Saint George","UT","2","1","7",NA,NA,NA,7305,0.0222,0.0897,0.2549,0.4764,0.0153,0.0355,0.1016,0.0044
"Evans Hairstyling College-Cedar City","Cedar City","UT","1","2","7",NA,NA,NA,33,0,0,0,0,0,0,0,1
"Evans Hairstyling College-St George","Saint George","UT","1","2","7",NA,NA,NA,50,0,0,0,0,0,0,0,1
"Paul Mitchell the School-Salt Lake City","Holiday","UT","1","2","7",NA,NA,NA,265,0,0,0,0,0,0,0,1
"Eagle Gate College-Murray","Murray","UT","2","2","7",NA,NA,NA,284,0.0597,0.1294,0.4925,0,0.2537,0.0647,0,0
"ITT Technical Institute-Murray","Murray","UT","2","2","7",0.9694,NA,NA,471,0.0391,0.0957,0,0,0.2087,0.6565,0,0
"Latter-day Saints Business College","Salt Lake City","UT","2","2","7",NA,NA,NA,1992,0.0608,0.6,0.0973,0.1743,0.0257,0.0419,0,0
"Everest College-Salt Lake City","West Valley City","UT","1","2","7",NA,NA,NA,404,0,0.0323,0.8226,0,0.1129,0.0323,0,0
"Ogden-Weber Applied Technology College","Ogden","UT","1","1","7",NA,NA,NA,1908,0,0.1001,0.4091,0,0,0.0962,0,0.3946
"Snow College","Ephraim","UT","2","1","7",NA,NA,NA,3051,0.0555,0.0598,0.2981,0.3548,0.0171,0.0513,0.1272,0.0363
"Southern Utah University","Cedar City","UT","3","1","7",0.5709,520,520,5620,0.0729,0.0796,0.0438,0.3547,0.0358,0.1283,0.2782,0.0066
"Stevens-Henager College-Ogden","West Haven","UT","2","2","7",NA,NA,NA,320,0.043,0.1129,0.7366,0,0,0.1075,0,0
"Stevens-Henager College of Business-Provo","Orem","UT","2","2","7",NA,NA,NA,351,0.1374,0.2473,0.4835,0,0,0.1319,0,0
"Uintah Basin Applied Technology College","Roosevelt","UT","1","1","7",NA,NA,NA,492,0,0.0472,0.306,0,0,0.0883,0,0.5586
"Utah State University","Logan","UT","3","1","7",0.9674,545,560,20775,0.0719,0.1215,0.1127,0.2722,0.0174,0.1393,0.2534,0.0116
"Utah Valley University","Orem","UT","3","1","7",NA,NA,NA,24243,0.0649,0.146,0.0632,0.2528,0.0697,0.0954,0.2128,0.095
"Salt Lake Community College","Salt Lake City","UT","2","1","7",NA,NA,NA,24494,0.0258,0.0699,0.1665,0.483,0.0303,0.0793,0.0531,0.092
"University of Utah","Salt Lake City","UT","3","1","7",0.8174,552,574,23273,0.1247,0.1203,0.0835,0.1393,0.0177,0.1875,0.327,0
"Weber State University","Ogden","UT","3","1","7",NA,NA,NA,17314,0.0373,0.0848,0.321,0.2908,0.0403,0.1006,0.1097,0.0156
"Westminster College","Salt Lake City","UT","3","2","7",0.7517,555,555,2260,0.0928,0.2628,0.1897,0.004,0.0119,0.1562,0.253,0.0296
"Bennington College","Bennington","VT","3","2","1",0.6487,NA,NA,613,0.6118,0,0,0.0329,0.0066,0.1447,0.204,0
"Burlington College","Burlington","VT","3","2","1",0.8291,NA,NA,199,0.3921,0.0196,0,0.2548,0.098,0,0.098,0.1373
"Castleton State College","Castleton","VT","3","1","1",0.9205,470,485,2022,0.066,0.217,0.2075,0.1534,0.0613,0.099,0.1957,0
"Champlain College","Burlington","VT","3","2","1",0.7079,560,555,2851,0.183,0.3252,0.0359,0.0261,0.0866,0.2385,0.1045,0
"Community College of Vermont","Winooski","VT","2","1","1",NA,NA,NA,4401,0.0265,0.208,0.1696,0.354,0.1032,0.0722,0.0664,0
"Goddard College","Plainfield","VT","3","2","1",1,NA,NA,201,0.1287,0,0.1188,0.6238,0,0,0.1287,0
"Green Mountain College","Poultney","VT","3","2","1",0.7555,NA,NA,578,0.0897,0.0897,0,0.2345,0,0.3863,0.2001,0
"Johnson State College","Johnson","VT","3","1","1",0.9688,485,470,1433,0.1455,0.1672,0.065,0.2694,0,0.031,0.322,0
"Lyndon State College","Lyndonville","VT","3","1","1",0.9934,465,465,1363,0.1295,0.1741,0.0324,0.2267,0.0769,0.17,0.1903,0
